city,site_eui,energy_star_score,gross_floor_area_sqft,total_ghg_mtco2e,y_log_ghg
denver,66.1,70.0,,815.9,6.705516688347823
denver,0.0,0.0,,0.0,0.0
denver,82.0,32.0,,253.2,5.538121358755354
denver,63.6,41.0,,522.3,6.260154913378162
denver,73.7,44.0,,514.1,6.24436105657154
denver,82.8,49.0,,1082.4,6.987859523223799
denver,50.3,77.0,,1544.3,7.342973345239649
denver,49.9,89.0,,275.2,5.621125240975192
denver,68.0,90.0,,246.0,5.5093883366279774
denver,41.2,92.0,,115.9,4.761318868478023
denver,50.6,95.0,,231.1,5.447168313280391
denver,44.8,97.0,,215.0,5.375278407684165
denver,90.3,63.0,,397.9,5.988710758911361
denver,45.7,89.0,,1781.7,7.485884347957816
denver,55.7,97.0,,199.0,5.298317366548036
denver,47.9,98.0,,3449.5,8.146274427060657
denver,41.2,100.0,,2017.6,7.610159480804759
denver,22.3,0.0,,66.7,4.215086179918229
denver,77.1,55.0,,343.4,5.841803772553575
denver,85.3,55.0,,1306.6,7.175948674850056
denver,67.2,62.0,,290.7,5.675725876873676
denver,66.7,75.0,,353.1,5.869579359117858
denver,68.8,80.0,,217.1,5.384953673207583
denver,0.0,0.0,,0.0,0.0
denver,106.8,34.0,,1107.0,7.010311867307229
denver,51.7,78.0,,595.0,6.39024066706535
denver,62.9,96.0,,565.7,6.339830063175573
denver,59.9,96.0,,1119.5,7.021530293240982
denver,54.6,87.0,,175.1,5.17105201550216
denver,34.2,100.0,,797.0,6.682108597449809
denver,108.3,2.0,,2237.4,7.713516603911216
denver,77.1,16.0,,1250.3,7.131938289871009
denver,93.3,65.0,,341.9,5.837438859468874
denver,85.8,76.0,,167.6,5.127529045567755
denver,71.4,92.0,,264.1,5.5801071132949795
denver,36.9,94.0,,883.8,6.785361630768071
denver,29.2,100.0,,1357.8,7.214357236286429
denver,65.0,33.0,,974.7,6.883155162113904
denver,58.3,62.0,,1866.7,7.532463006319562
denver,79.6,77.0,,249.6,5.523858042461968
denver,65.2,89.0,,230.9,5.446306244261486
denver,25.5,98.0,,316.7,5.761107541275471
denver,65.6,0.0,,389.5,5.967427969279741
denver,77.4,23.0,,1346.5,7.206006302783152
denver,88.8,44.0,,881.7,6.7829853920261876
denver,98.0,60.0,,409.1,6.016401032398013
denver,64.6,68.0,,1643.0,7.404887575616125
denver,61.6,68.0,,2671.9,7.890919304290582
denver,60.1,83.0,,957.4,6.865265227361185
denver,37.9,88.0,,1054.1,6.961390828148047
denver,65.3,90.0,,2810.2,7.941366717432833
denver,39.7,98.0,,1768.0,7.478169694159785
