city,property_id,property_name,gross_floor_area_sqft,site_eui,energy_star_score,total_ghg_mtco2e,address,zip,year_built
philadelphia,881034500,Penn Center House,600537.0,51.7,84.0,2082.7,1900 JFK Blvd.,19103,1959
philadelphia,881035000,"The Sterling Apts (sr43,sl43)",518241.0,118.3,4.0,4051.5,1801 John F Kennedy Blv,19103,1961
philadelphia,881035500,"(PA2610) - Kennedy House, Inc.",1060000.0,36.2,83.0,2561.0,1901 John F. Kennedy Boulevard,19103,1969
philadelphia,881035640,1919 Market St (mk51),1111001.0,23.2,,1432.1,1919 Market Street,19103,2016
philadelphia,881035900,The Lofts @ 1835 Arch,269842.0,49.0,42.0,1124.8,1835 Arch Street,19103,2001
philadelphia,881036500,Westminster Arch Apartments,73614.0,40.4,86.0,246.7,2213-25 Arch Street,19103,1890
philadelphia,881146350,One Franklin Town,521968.0,32.2,85.0,1453.8,1 Franklin Town Boulevard,19103,1988
philadelphia,881146359,The Alexander,547684.0,39.1,74.0,1517.5,1601 Vine Street,19103,2018
philadelphia,881547025,The Point at Rittenhouse Row - Panco Management,95134.0,62.2,10.0,516.9,1601 Sansom St,19103,1970
philadelphia,881547560,The Latham,57178.0,86.7,39.0,400.8,135 S. 17th Street,19103,1950
philadelphia,881555000,Edgewater,396792.0,30.4,95.0,875.9,2323 Race St,19103,2006
philadelphia,881562500,1700 Chestnut Street,105550.0,60.3,18.0,609.0,1700 Chestnut Street,19103,1950
philadelphia,881564050,1930 Chestnut,125994.0,80.4,9.0,840.8,1930 Chestnut Street,19103,2003
philadelphia,881566510,AQ Rittenhouse - CO (qr04),92077.0,48.4,72.0,384.3,2017-23 Chestnut St.,19103,2015
philadelphia,881566975,2116 Chestnut Apartments,410780.0,49.1,58.0,1342.5,2116 Chestnut Street,19103,2013
philadelphia,881569810,400 Walnut,91900.0,47.8,25.0,400.8,400 Walnut Street,19103,2002
philadelphia,882862100,The Shops at Liberty Place,202609.0,129.7,,2492.9,1625 Chestnut St.,19103,1990
philadelphia,883031500,"1600 MARKET STREET, Site #602760",921746.0,43.0,81.0,3203.5,1600 MARKET ST,19103,1983
philadelphia,883031676,One Liberty Place,1336425.0,50.3,64.0,6432.1,1650 Market Street,19103,1987
philadelphia,883032000,1700 Market Street,1099385.0,65.8,75.0,5239.7,1700 Market Street,19103,1968
philadelphia,883032500,1760 Market,138128.0,58.6,57.0,754.2,1760 Market Street,19103,1980
philadelphia,883033001,1818 Market St,1196641.0,61.8,75.0,5230.5,1818 Market St Suite 1120,19103,1973
