city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,address,zip
denver,3537,Sam's Club #6632,Wholesale Club/Supercenter,121.5,25.0,1730.8,Portfolio Manager,80209
denver,2205,2800 Walnut,Other - Mall,45.8,0.0,185.8,Portfolio Manager,80205
denver,4530,ALD Plaza,Other - Mall,80.8,49.0,250.6,Portfolio Manager,80222
denver,5252,1792 Wynkoop Lofts Condominium Association,Restaurant,74.5,0.0,525.6,Portfolio Manager,80202
denver,2538,Denver FGA/GLI Maintenance (830011),Transportation Terminal/Station,194.5,0.0,482.9,Portfolio Manager,80205
denver,3302,500 Quivas 5326660320,Refrigerated Warehouse,55.3,50.0,781.3,Portfolio Manager,80204
denver,2030,Fox Facility,Prison/Incarceration,83.5,0.0,282.3,Portfolio Manager,80216
denver,2365,Familystar Montessori School,Other - Education,28.6,0.0,126.2,Portfolio Manager,80211
denver,1247,Colorado Correctional Industries - Oakland,Prison/Incarceration,43.4,0.0,215.1,Portfolio Manager,80239-2719
denver,2293,Highland Masonic Temple,Social/Meeting Hall,48.6,0.0,86.4,Portfolio Manager,80211
denver,1969,Main Building,RESIDENTIAL CARE FACILITY,80.5,0.0,441.9,Portfolio Manager,80211
denver,5723,Colorado Center Retail,Enclosed Mall,110.0,0.0,2234.6,Portfolio Manager,80222
denver,2468,Annex,Aquarium,175.5,0.0,665.9,Portfolio Manager,80211
denver,2366,Children's Museum of Denver at Marsico Campus,MUSEUM,82.1,0.0,413.5,Portfolio Manager,80211
denver,5283,Step Denver,RESIDENTIAL CARE FACILITY,29.9,0.0,83.9,Portfolio Manager,80205
denver,1734,Denver Rec & Diag Cntr,Prison/Incarceration,130.3,0.0,4403.8,Portfolio Manager,80239
denver,2994,CUofCO Denver,Financial Office,103.5,47.0,631.7,Portfolio Manager,80203
denver,1677,12275 E 45th Ave llc,Other - Services,48.2,0.0,112.3,Portfolio Manager,80239
denver,1436,7005 E 46TH AVENUE DRIVE,Refrigerated Warehouse,73.8,0.0,351.9,Portfolio Manager,80216
denver,5449,DaVita Dialysis and Planet Fitness,Fitness Center/Health Club/Gym,0.0,0.0,0.0,Portfolio Manager,80239
denver,2814,Vasa Fitness #2814,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",66.2,0.0,420.9,Portfolio Manager,80227
denver,4571,Freeway Ford Sales,AUTOMOBILE DEALERSHIP,0.0,0.0,0.0,Portfolio Manager,80222
denver,2378,Empower Field at Mile High,Other - Entertainment/Public Assembly,38.9,0.0,10106.0,Portfolio Manager,80204
denver,1860,Lipman Colorado LLC,Refrigerated Warehouse,106.6,52.0,375.4,Portfolio Manager,80216
denver,5966,The Park of Woodstream Village,Multi-family Condominium,12.7,100.0,265.2,Portfolio Manager,80231
denver,3598,Owen,Other - Education,75.9,0.0,156.5,Portfolio Manager,80219
denver,5690,235003,Other - Technology/Science,155.7,0.0,1583.0,Portfolio Manager,802094134
denver,3868,Bear Valley Shopping Center,Other - Mall,81.3,0.0,3755.8,Portfolio Manager,80236
denver,3986,Colorado Plaza,Other - Entertainment/Public Assembly,194.0,0.0,542.4,Portfolio Manager,80206
denver,2799,St. Paul Health Center,RESIDENTIAL CARE FACILITY,134.9,0.0,892.2,Portfolio Manager,80206
denver,1836,8797 MontView Boulevard LLC,Fitness Center/Health Club/Gym,31.1,0.0,292.2,Portfolio Manager,80238
denver,4954,Tennis Building Denver Benchmark #4954,Other - Recreation,20.5,0.0,118.8,Portfolio Manager,80235-3010
denver,2772,Denver,Other - Specialty Hospital,96.6,0.0,783.5,Portfolio Manager,80218
denver,1987,W47,Refrigerated Warehouse,35.8,75.0,474.1,Portfolio Manager,80211
denver,3660,C. M. CLARK - 1207,AUTOMOBILE DEALERSHIP,85.4,0.0,294.9,Portfolio Manager,80223
denver,4019,Eating Recovery Center,RESIDENTIAL CARE FACILITY,170.1,0.0,557.3,Portfolio Manager,80230
denver,2430,Denver Union Station Bus Depot,Transportation Terminal/Station,492.7,0.0,1908.4,Portfolio Manager,80202
denver,5241,Presbyterian St. Luke's MC,Hospital (General Medical & Surgical),240.1,62.0,22581.1,Portfolio Manager,80218
denver,5025,Walmart Supercenter #1308,Wholesale Club/Supercenter,77.8,81.0,1357.4,Portfolio Manager,80123
denver,4376,Staenberg-Loup Jewish Community Center of Denver,Pre-school/Daycare,112.1,0.0,1149.4,Portfolio Manager,80246
denver,2347,Colo Christian,RESIDENTIAL CARE FACILITY,51.2,0.0,652.1,Portfolio Manager,80212
denver,2125,"Hope Center, Inc.",Pre-school/Daycare,61.7,0.0,136.5,Portfolio Manager,80205
denver,2736,Denver North Care Center,RESIDENTIAL CARE FACILITY,139.7,0.0,309.0,Portfolio Manager,80205
denver,1220,Denver 4,Refrigerated Warehouse,33.4,85.0,228.3,Portfolio Manager,80239
denver,4993,EMPIRE LITTLETON NISSAN,AUTOMOBILE DEALERSHIP,96.4,0.0,446.3,Portfolio Manager,80123
denver,4693,Larry H Miller Dodge Ram Havana,AUTOMOBILE DEALERSHIP,150.3,0.0,578.5,Portfolio Manager,80014
denver,4788,CONTINENTAL 6,MOVIE THEATER,89.1,0.0,519.4,Portfolio Manager,80237
denver,3237,CO Talking Book Library BLDG,ADULT EDUCATION,16.5,0.0,99.9,Portfolio Manager,80226
denver,2548,The Salvation Army Harbor Light Center,Other - Lodging/Residential,49.2,0.0,366.6,Portfolio Manager,80205
denver,2158,KAYMART HOLDING LLC,Social/Meeting Hall,51.3,0.0,130.8,Portfolio Manager,80205
denver,3790,Newman Performing Arts,PERFORMING ARTS,65.5,0.0,1253.7,Portfolio Manager,80210
denver,3020,CLYFFORD STILL MUSEUM,MUSEUM,31.8,0.0,149.0,Portfolio Manager,80204
denver,5651,Griffis North Union (gr002),Not Available,41.3,88.0,1698.5,Portfolio Manager,80202
denver,4337,Berkley Manor Care,RESIDENTIAL CARE FACILITY,112.8,0.0,509.1,Portfolio Manager,80224
denver,6098,Eating Recovery Center,Other - Specialty Hospital,156.5,0.0,1524.5,Portfolio Manager,80230
denver,2193,3201 Walnut St,Fitness Center/Health Club/Gym,72.2,0.0,353.9,Portfolio Manager,80205
denver,5589,History Colorado Center,MUSEUM,32.0,0.0,961.1,Portfolio Manager,80203
denver,4507,Denver Dumb Friends League,Other - Public Services,183.5,0.0,1954.8,Portfolio Manager,80231
denver,6065,Kirkland Museum of Fine and Decorative Art,MUSEUM,71.4,0.0,381.0,Portfolio Manager,80204-3630
denver,3295,XE #3295,Other - Utility,412.3,0.0,2661.0,Portfolio Manager,80223
denver,2279,The Spearly Center,RESIDENTIAL CARE FACILITY,0.0,0.0,0.0,Portfolio Manager,80211
denver,1606,Lincoln Tech,VOCATIONAL SCHOOL,54.1,0.0,1463.3,Portfolio Manager,80239
denver,1521,MHC Kenworth,AUTOMOBILE DEALERSHIP,78.1,0.0,1343.3,Portfolio Manager,80216-0043
denver,4807,Parliament Building #6,Not Available,41.8,53.0,955.9,Portfolio Manager,80237
denver,1163,233968,Other - Technology/Science,72.8,0.0,773.3,Portfolio Manager,802392308
denver,2445,Museum of Contemporary Art Denver,MUSEUM,120.1,0.0,292.6,Portfolio Manager,80202
denver,5885,9th & Colorado,Parking,120.7,0.0,532.5,Portfolio Manager,80220
denver,2561,CO0061ZZ-ALFRED A. ARRAJ COURTHOUSE,Courthouse,68.8,71.0,0.0,Portfolio Manager,80294
denver,2595,Stephen Chavez,Other - Mall,168.7,0.0,980.3,Portfolio Manager,80202
denver,4364,"Antero Retail Group, LLC",Other - Mall,132.5,0.0,1598.9,Portfolio Manager,80224
denver,3191,Colorado Ballet,PERFORMING ARTS,43.0,0.0,143.1,Portfolio Manager,80204
denver,2572,CO0009ZZ-BYRON WHITE U.S. COURTHOUSE,Courthouse,51.8,78.0,1539.0,Portfolio Manager,80202
denver,3780,Porter Adventist Hospital,Hospital (General Medical & Surgical),289.4,17.0,19460.1,Portfolio Manager,80210
denver,5998,Denver Health Campus,Hospital (General Medical & Surgical),246.7,52.0,28625.8,Portfolio Manager,80204
denver,1403,3801 Race LLC,AUTOMOBILE DEALERSHIP,26.8,0.0,126.4,Portfolio Manager,80216
denver,1311,"Brede-Colorado, Inc",Other - Services,10.4,0.0,52.1,Portfolio Manager,80216
denver,2027,31st Street Investments LLC,Residence Hall/Dormitory,52.5,0.0,794.8,Portfolio Manager,80216
denver,6034,Carla Madison Rec Center,Fitness Center/Health Club/Gym,153.6,0.0,905.4,Portfolio Manager,80206
denver,4579,COLORADO CTR 9,MOVIE THEATER,42.4,0.0,303.0,Portfolio Manager,80222
denver,5502,Rocky Mountain Law Enforcement Federal Credit Union,BANK BRANCH,47.0,89.0,122.0,Portfolio Manager,80216
denver,3983,Rose Medical Center,Hospital (General Medical & Surgical),230.2,58.0,16233.6,Portfolio Manager,80220
denver,1782,"The Lofts at Stapleton Homeowners Association, Inc.",Other - Lodging/Residential,33.4,99.0,176.8,Portfolio Manager,80238
denver,5022,"Phil Long Ford of Denver, LLC",AUTOMOBILE DEALERSHIP,105.1,0.0,1414.9,Portfolio Manager,80123
denver,2645,Denver Pavilions,Lifestyle Center,163.4,0.0,7275.1,Portfolio Manager,80202
denver,3158,"Osage, LLC",VOCATIONAL SCHOOL,101.8,0.0,511.0,Portfolio Manager,80204
denver,1855,"Thirteenth Floor Denver Holdings, LLC",Other - Entertainment/Public Assembly,36.5,0.0,99.7,Portfolio Manager,80216
denver,4557,Freeway Ford Service,AUTOMOBILE DEALERSHIP,206.6,0.0,467.0,Portfolio Manager,80222
denver,1587,237420,Other - Technology/Science,210.1,0.0,900.9,Portfolio Manager,80239
denver,2604,mr champa llc,DATA CENTER,370.0,0.0,8084.1,Portfolio Manager,80603
denver,2060,Museum Building 1,MUSEUM,36.8,0.0,159.9,Portfolio Manager,80216
denver,1207,CRI,Food Sales,47.7,0.0,256.9,Portfolio Manager,80239
denver,1122,Raymond James & Associates,DATA CENTER,495.4,97.0,3294.0,Portfolio Manager,80239
denver,3504,"Cherry Creek Real Estate Holdings, LLC",Parking,76.8,0.0,354.4,Portfolio Manager,80209
denver,1548,Walmart Supercenter #3533,Wholesale Club/Supercenter,107.8,50.0,2925.5,Portfolio Manager,80207
denver,5630,Le Meridien/AC Denver Downtown,Not Available,110.7,70.0,0.0,Portfolio Manager,80202
denver,2784,Mountain States,BANK BRANCH,55.7,87.0,261.8,Portfolio Manager,80218
denver,2608,Federal Reserve Bank of Kansas City - Denver Branch,Financial Office,86.8,38.0,1801.6,Portfolio Manager,80202
denver,4799,Happy Canyon Shopping Center,Other - Mall,47.1,0.0,297.4,Portfolio Manager,80222
denver,3135,KMGH-TV,Other - Technology/Science,231.0,0.0,2190.1,Portfolio Manager,80203
denver,5182,Scottish Rite Masonic Center,Other - Public Services,69.4,0.0,204.6,Portfolio Manager,802032406
