city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,3302,500 Quivas 5326660320,Refrigerated Warehouse,55.3,50.0,781.3,80204,
denver,2030,Fox Facility,Prison/Incarceration,83.5,0.0,282.3,80216,
denver,2365,Familystar Montessori School,Other - Education,28.6,0.0,126.2,80211,
denver,1247,Colorado Correctional Industries - Oakland,Prison/Incarceration,43.4,0.0,215.1,80239-2719,
denver,2293,Highland Masonic Temple,Social/Meeting Hall,48.6,0.0,86.4,80211,
denver,1969,Main Building,RESIDENTIAL CARE FACILITY,80.5,0.0,441.9,80211,
denver,5723,Colorado Center Retail,Enclosed Mall,110.0,0.0,2234.6,80222,
denver,2468,Annex,Aquarium,175.5,0.0,665.9,80211,
denver,2366,Children's Museum of Denver at Marsico Campus,MUSEUM,82.1,0.0,413.5,80211,
denver,5283,Step Denver,RESIDENTIAL CARE FACILITY,29.9,0.0,83.9,80205,
denver,1734,Denver Rec & Diag Cntr,Prison/Incarceration,130.3,0.0,4403.8,80239,
denver,2994,CUofCO Denver,Financial Office,103.5,47.0,631.7,80203,
denver,1677,12275 E 45th Ave llc,Other - Services,48.2,0.0,112.3,80239,
denver,1436,7005 E 46TH AVENUE DRIVE,Refrigerated Warehouse,73.8,0.0,351.9,80216,
denver,5449,DaVita Dialysis and Planet Fitness,Fitness Center/Health Club/Gym,0.0,0.0,0.0,80239,
denver,2814,Vasa Fitness #2814,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",66.2,0.0,420.9,80227,
denver,4571,Freeway Ford Sales,AUTOMOBILE DEALERSHIP,0.0,0.0,0.0,80222,
denver,2378,Empower Field at Mile High,Other - Entertainment/Public Assembly,38.9,0.0,10106.0,80204,
denver,1860,Lipman Colorado LLC,Refrigerated Warehouse,106.6,52.0,375.4,80216,
denver,5966,The Park of Woodstream Village,Multi-family Condominium,12.7,100.0,265.2,80231,
denver,3598,Owen,Other - Education,75.9,0.0,156.5,80219,
denver,5690,235003,Other - Technology/Science,155.7,0.0,1583.0,802094134,
denver,3868,Bear Valley Shopping Center,Other - Mall,81.3,0.0,3755.8,80236,
denver,3986,Colorado Plaza,Other - Entertainment/Public Assembly,194.0,0.0,542.4,80206,
denver,2799,St. Paul Health Center,RESIDENTIAL CARE FACILITY,134.9,0.0,892.2,80206,
denver,1836,8797 MontView Boulevard LLC,Fitness Center/Health Club/Gym,31.1,0.0,292.2,80238,
denver,4954,Tennis Building Denver Benchmark #4954,Other - Recreation,20.5,0.0,118.8,80235-3010,
denver,2772,Denver,Other - Specialty Hospital,96.6,0.0,783.5,80218,
denver,1987,W47,Refrigerated Warehouse,35.8,75.0,474.1,80211,
denver,3660,C. M. CLARK - 1207,AUTOMOBILE DEALERSHIP,85.4,0.0,294.9,80223,
denver,4019,Eating Recovery Center,RESIDENTIAL CARE FACILITY,170.1,0.0,557.3,80230,
denver,2430,Denver Union Station Bus Depot,Transportation Terminal/Station,492.7,0.0,1908.4,80202,
denver,5241,Presbyterian St. Luke's MC,Hospital (General Medical & Surgical),240.1,62.0,22581.1,80218,
denver,5025,Walmart Supercenter #1308,Wholesale Club/Supercenter,77.8,81.0,1357.4,80123,
denver,4376,Staenberg-Loup Jewish Community Center of Denver,Pre-school/Daycare,112.1,0.0,1149.4,80246,
denver,2347,Colo Christian,RESIDENTIAL CARE FACILITY,51.2,0.0,652.1,80212,
denver,2125,"Hope Center, Inc.",Pre-school/Daycare,61.7,0.0,136.5,80205,
denver,2736,Denver North Care Center,RESIDENTIAL CARE FACILITY,139.7,0.0,309.0,80205,
denver,1220,Denver 4,Refrigerated Warehouse,33.4,85.0,228.3,80239,
denver,4993,EMPIRE LITTLETON NISSAN,AUTOMOBILE DEALERSHIP,96.4,0.0,446.3,80123,
